V01301 V04001 V04002 V04003 V12001_701 V13003_701
53723 2018 4 16 11.9000 41.3000 
53723 2018 4 17 16.8000 29.3000 
53723 2018 4 18 18.9000 37.5000 
53723 2018 4 19 21.9000 38.0000 
53723 2018 4 20 17.2000 56.3000 
53723 2018 4 21 14.5000 59.0000 
53723 2018 4 22 16.3000 57.8000 
53723 2018 4 23 12.7000 51.8000 
53723 2018 4 24 10.1000 58.0000 
53723 2018 4 25 13.4000 45.0000 
53723 2018 4 26 16.3000 31.5000 
53723 2018 4 27 17.3000 26.8000 
53723 2018 4 28 19.1000 30.0000 
53723 2018 4 29 18.9000 28.3000 
53723 2018 4 30 16.2000 29.5000 
53723 2018 5 1 999999.0000 999999.0000 
53723 2018 5 2 11.6000 24.8000 
53723 2018 5 3 15.5000 31.0000 
53723 2018 5 4 20.0000 39.3000 
53723 2018 5 5 16.7000 20.0000 
53723 2018 5 6 15.9000 33.0000 
53723 2018 5 7 16.4000 39.5000 
53723 2018 5 8 16.5000 43.0000 
53723 2018 5 9 15.5000 53.5000 
53723 2018 5 10 11.1000 80.3000 
53723 2018 5 11 14.8000 55.0000 
53723 2018 5 12 17.9000 32.5000 
53723 2018 5 13 22.3000 35.5000 
53723 2018 5 14 24.4000 33.5000 
53723 2018 5 15 24.0000 40.0000 
53723 2018 5 16 22.5000 39.0000 
53723 2018 5 17 20.5000 44.0000 
53723 2018 5 18 22.6000 23.8000 
53723 2018 5 19 16.5000 67.0000 
53723 2018 5 20 18.1000 70.5000 
53723 2018 5 21 12.9000 86.3000 
53723 2018 5 22 13.6000 35.8000 
53723 2018 5 23 16.4000 46.8000 
53723 2018 5 24 19.7000 47.0000 
53723 2018 5 25 22.9000 42.0000 
53723 2018 5 26 14.0000 51.8000 
53723 2018 5 27 17.5000 30.5000 
53723 2018 5 28 21.2000 21.5000 
53723 2018 5 29 19.9000 25.8000 
53723 2018 5 30 19.1000 28.5000 
53723 2018 5 31 21.2000 36.8000 
53723 2018 6 1 20.6000 36.5000 
53723 2018 6 2 20.4000 48.5000 
53723 2018 6 3 19.0000 35.8000 
53723 2018 6 4 21.2000 26.8000 
53723 2018 6 5 24.5000 21.5000 
53723 2018 6 6 21.7000 29.3000 
53723 2018 6 7 20.0000 34.3000 
53723 2018 6 8 17.9000 46.0000 
53723 2018 6 9 18.7000 44.0000 
53723 2018 6 10 22.2000 30.0000 
53723 2018 6 11 23.7000 23.5000 
53723 2018 6 12 24.8000 25.8000 
53723 2018 6 13 23.9000 20.8000 
53723 2018 6 14 23.4000 23.3000 
53723 2018 6 15 22.9000 39.5000 
53723 2018 6 16 18.8000 74.5000 
53723 2018 6 17 18.7000 82.5000 
53723 2018 6 18 20.6000 74.0000 
53723 2018 6 19 22.4000 58.8000 
53723 2018 6 20 22.6000 54.8000 
53723 2018 6 21 19.8000 73.8000 
53723 2018 6 22 23.0000 58.8000 
53723 2018 6 23 24.3000 53.5000 
53723 2018 6 24 24.2000 56.0000 
53723 2018 6 25 22.2000 74.3000 
53723 2018 6 26 24.9000 54.3000 
53723 2018 6 27 25.2000 44.3000 
53723 2018 6 28 23.6000 37.5000 
53723 2018 6 29 21.0000 59.3000 
53723 2018 6 30 23.7000 64.3000 
53723 2018 7 1 20.6000 82.5000 
53723 2018 7 2 20.0000 82.5000 
53723 2018 7 3 21.2000 79.0000 
53723 2018 7 4 22.2000 64.5000 
53723 2018 7 5 24.4000 58.5000 
53723 2018 7 6 23.8000 63.8000 
53723 2018 7 7 22.9000 65.0000 
53723 2018 7 8 21.9000 68.5000 
53723 2018 7 9 21.5000 64.0000 
53723 2018 7 10 19.7000 79.3000 
53723 2018 7 11 22.7000 69.8000 
53723 2018 7 12 24.9000 59.0000 
53723 2018 7 13 25.4000 61.0000 
53723 2018 7 14 25.5000 65.0000 
53723 2018 7 15 25.2000 54.3000 
53723 2018 7 16 24.2000 63.8000 
53723 2018 7 17 26.6000 62.5000 
53723 2018 7 18 26.4000 62.3000 
53723 2018 7 19 25.1000 73.5000 
53723 2018 7 20 21.6000 78.5000 
53723 2018 7 21 19.4000 84.8000 
53723 2018 7 22 22.9000 80.3000 
53723 2018 7 23 23.5000 73.0000 
53723 2018 7 24 21.7000 70.5000 
53723 2018 7 25 24.2000 58.5000 
53723 2018 7 26 25.6000 58.0000 
53723 2018 7 27 26.4000 62.5000 
53723 2018 7 28 25.8000 63.3000 
53723 2018 7 29 26.9000 63.3000 
53723 2018 7 30 27.2000 57.8000 
53723 2018 7 31 24.7000 63.8000 
53723 2018 8 1 24.3000 65.8000 
53723 2018 8 2 25.8000 61.3000 
53723 2018 8 3 26.5000 58.0000 
53723 2018 8 4 27.2000 54.8000 
53723 2018 8 5 27.1000 48.8000 
53723 2018 8 6 25.8000 65.5000 
53723 2018 8 7 24.2000 70.5000 
53723 2018 8 8 23.3000 75.0000 
53723 2018 8 9 23.3000 78.8000 
53723 2018 8 10 23.4000 75.5000 
53723 2018 8 11 23.7000 72.0000 
53723 2018 8 12 22.5000 72.8000 
53723 2018 8 13 23.0000 73.5000 
53723 2018 8 14 23.4000 73.0000 
53723 2018 8 15 24.8000 68.0000 
53723 2018 8 16 22.5000 66.0000 
53723 2018 8 17 19.3000 78.5000 
53723 2018 8 18 20.9000 75.5000 
53723 2018 8 19 24.4000 64.0000 
53723 2018 8 20 21.6000 79.5000 
53723 2018 8 21 18.0000 85.5000 
53723 2018 8 22 19.3000 68.3000 
53723 2018 8 23 20.6000 63.0000 
53723 2018 8 24 21.9000 58.3000 
53723 2018 8 25 20.1000 68.5000 
53723 2018 8 26 21.3000 71.8000 
53723 2018 8 27 22.5000 63.5000 
53723 2018 8 28 22.9000 66.8000 
53723 2018 8 29 23.6000 68.3000 
53723 2018 8 30 21.2000 83.8000 
53723 2018 8 31 20.6000 90.0000 
53723 2018 9 1 20.3000 86.0000 
53723 2018 9 2 18.4000 70.8000 
53723 2018 9 3 18.9000 54.3000 
53723 2018 9 4 16.6000 64.3000 
53723 2018 9 5 19.4000 58.5000 
53723 2018 9 6 15.5000 39.8000 
53723 2018 9 7 12.3000 56.0000 
53723 2018 9 8 13.6000 51.5000 
53723 2018 9 9 13.2000 66.3000 
53723 2018 9 10 16.8000 73.3000 
53723 2018 9 11 17.8000 67.0000 
53723 2018 9 12 17.4000 70.8000 
53723 2018 9 13 15.6000 72.5000 
53723 2018 9 14 13.8000 73.0000 
53723 2018 9 15 11.2000 61.3000 
53723 2018 9 16 12.5000 56.5000 
53723 2018 9 17 10.4000 89.3000 
53723 2018 9 18 12.9000 93.3000 
53723 2018 9 19 14.8000 86.3000 
53723 2018 9 20 15.7000 61.0000 
53723 2018 9 21 11.9000 46.0000 
53723 2018 9 22 10.1000 49.5000 
53723 2018 9 23 11.4000 38.0000 
53723 2018 9 24 14.2000 54.3000 
53723 2018 9 25 13.8000 73.5000 
53723 2018 9 26 13.9000 69.0000 
53723 2018 9 27 12.5000 70.8000 
53723 2018 9 28 11.1000 51.5000 
53723 2018 9 29 11.7000 46.3000 
53723 2018 9 30 8.6000 54.5000 
53723 2018 10 1 7.3000 58.8000 
53723 2018 10 2 8.5000 49.3000 
53723 2018 10 3 10.1000 55.5000 
53723 2018 10 4 14.9000 46.5000 
53723 2018 10 5 12.4000 45.8000 
53723 2018 10 6 7.4000 41.5000 
53723 2018 10 7 6.8000 41.3000 
53723 2018 10 8 7.7000 38.3000 
53723 2018 10 9 5.0000 42.8000 
53723 2018 10 10 5.1000 41.5000 
53723 2018 10 11 6.8000 37.0000 
53723 2018 10 12 8.6000 53.3000 
53723 2018 10 13 9.7000 68.5000 
53723 2018 10 14 9.8000 78.8000 
53723 2018 10 15 7.5000 84.3000 
53723 2018 10 16 7.1000 63.0000 
53723 2018 10 17 9.4000 63.3000 
53723 2018 10 18 10.2000 83.0000 
53723 2018 10 19 8.7000 77.0000 
53723 2018 10 20 7.3000 83.5000 
53723 2018 10 21 8.0000 80.5000 
53723 2018 10 22 7.3000 45.5000 
53723 2018 10 23 7.0000 56.8000 
53723 2018 10 24 10.3000 55.8000 
53723 2018 10 25 7.6000 35.0000 
53723 2018 10 26 2.7000 31.8000 
53723 2018 10 27 3.5000 49.8000 
53723 2018 10 28 5.6000 37.8000 
53723 2018 10 29 8.3000 25.0000 
53723 2018 10 30 8.0000 30.5000 
53723 2018 10 31 6.1000 44.8000 
53723 2018 11 1 5.6000 54.8000 
53723 2018 11 2 10.6000 48.0000 
53723 2018 11 3 4.1000 63.8000 
53723 2018 11 4 1.7000 73.5000 
53723 2018 11 5 2.2000 65.8000 
53723 2018 11 6 1.5000 46.3000 
53723 2018 11 7 2.5000 40.8000 
53723 2018 11 8 2.7000 50.3000 
53723 2018 11 9 2.1000 49.0000 
53723 2018 11 10 2.4000 51.5000 
53723 2018 11 11 3.3000 59.3000 
53723 2018 11 12 4.2000 57.0000 
53723 2018 11 13 6.0000 59.3000 
53723 2018 11 14 2.3000 68.5000 
53723 2018 11 15 -0.7000 59.3000 
